Name	Gender	Count	Ethnicity	
KENYA	FEMALE	30	BLACK	
KEYLA	FEMALE	191	HISPANIC	
KHADIJA	FEMALE	40	ASIAN/BLACK	
KHADIJAH	FEMALE	39	BLACK	
KHALEESI	FEMALE	12	HISPANIC	
KHLOE	FEMALE	1354	HISPANIC/BLACK/ASIAN/WHITE	
KIARA	FEMALE	666	HISPANIC/BLACK	
KIERA	FEMALE	13	WHITE	
KIMBERLY	FEMALE	1258	HISPANIC/ASIAN	
KIMORA	FEMALE	252	BLACK	
KIRA	FEMALE	180	WHITE/ASIAN	
KORI	FEMALE	10	BLACK	
KOURTNEY	FEMALE	36	BLACK	
KRISTEN	FEMALE	30	BLACK	
KRISTINA	FEMALE	10	WHITE	
KRYSTAL	FEMALE	39	HISPANIC	
KYLA	FEMALE	162	BLACK	
KYLEE	FEMALE	144	HISPANIC/BLACK	
KYLIE	FEMALE	1203	HISPANIC/WHITE/ASIAN/BLACK	
LAILA	FEMALE	1021	HISPANIC/WHITE/BLACK	
LAILAH	FEMALE	30	BLACK	
LANA	FEMALE	109	WHITE	
LARA	FEMALE	209	WHITE	
LAURA	FEMALE	376	HISPANIC/WHITE/ASIAN	
LAUREN	FEMALE	1071	HISPANIC/WHITE/ASIAN/BLACK	
LAURYN	FEMALE	41	BLACK	
LAYAN	FEMALE	87	WHITE	
LAYLA	FEMALE	1724	HISPANIC/WHITE/BLACK/ASIAN	
LEA	FEMALE	382	HISPANIC/WHITE	
LEAH	FEMALE	4893	HISPANIC/WHITE/ASIAN/BLACK	
LEANNA	FEMALE	44	HISPANIC/ASIAN	
LEELA	FEMALE	84	ASIAN	
LEIA	FEMALE	24	HISPANIC	
LEILA	FEMALE	719	HISPANIC/WHITE/ASIAN/BLACK	
LEILANI	FEMALE	565	HISPANIC/BLACK	
LEILANY	FEMALE	11	HISPANIC	
LENA	FEMALE	337	WHITE/ASIAN	
LEONA	FEMALE	36	WHITE	
LEORA	FEMALE	138	WHITE	
LESLEY	FEMALE	66	HISPANIC	
LESLIE	FEMALE	613	HISPANIC	
LESLY	FEMALE	207	HISPANIC	
LEYLA	FEMALE	145	HISPANIC/WHITE	
LIA	FEMALE	642	HISPANIC/WHITE/ASIAN	
